product_group;vol_per_item
PVC-U Ball Valves 375 manual;1
PVC-U Ball Valves other 375 manual;1
PVC-U Strainer 050;1
Saddles with reinf. Ring M;2
Saddles without reinf. Ring M;2
ABS Solvent Cement Fittings BS;2
ABS Solvent Cement Fittings metric;3
PVC-C Solvent Cement Fittings;3
PVC-U Solvent Cement Fittings BS;3
Tapping Saddles;2
TP Adapter Fittings and threaded pipe fittings M/G;1
TP Ball Valves not metric;2
TP VFA Butterfly Valves;1
TP Check and Air realease Valves;1
TP PVC-U VSA 18-22 Ball Valves metric;1
TP ABS Fittings;2
TP PP-H Fittings;2
TP  PVC-U VSA 21-11 Ball Valves metric;2
TP  PVC-U VSI Ball Valves black metric;2
TP PVC-U Solvent cement Fittings BS and adapter fi;2
TP PVC-U Solvent cement Fittings metric;2
TP Spare parts/gaskets/assessories/components;1
TP ABS Valves;1
PVC-C Ball Valves other 375 manual;2
PVC-U Welded Fittings;2
Accessories Double Containment;1
PE Adapter Fittings Butt Fusion;1
PP Adapter Fittings;1
PROGEF Natural PP-R Butt Sanitary Adaptors;1
PP Adapter Unions;1
AS-Interface;1
PROGEF Natural PP-R Butt Adaptors/Unions;1
PE Butt Fusion Fittings;1
PP-R (natural) Butt Fusion Fittings;1
Components for Pneumatic Actuators;2
Components for VAFM;2
PROGEF Fittings CDB;3
iFit Tools;2
Instaflex Carriers for pipe;3
Instaflex Compression fittings;2
Instaflex Electro fusion fittings PB d16-d110;1
Instaflex Machines and Tools;3
Instaflex PB Pipe in bars;4
Instaflex PB Pipe with protective pipe in coils;4
Instaflex Pipe Accessories;2
Instaflex PB Socket fusion fitting d16-d110;2
Instaflex Special fittings;1
COOL-FIT Plus Pipes (ABS);4
Positioner for pneumatic actuators;1
PROGEF Check Valves 369;1
PVC-U Ball Valves other 546 manual DN10-50;1
PVC-U Check Valves 369;1
PVC-U Inspection glass 001;1
IS OT Henkel;1
VAFM type 335;1
VAFM type 350;1
Double Containment Valves;1
Variable Area Flow Meters;1
Inline Rotor;1
Integral Systems;1
Paddlewheel Plastic;1
PVC-U Tee Fittings;1
COOL-FIT 2.0 Fittings (PE100);1
COOL-FIT 4.0 Fittings (PE100);1
Tangit Rapid;1
COOL-FIT 2.0 Valves;1
PVC-U Ball Valve 546 electric NEW EA 2015;1
PVC-U Ball Valve 543 electric NEW EA 2015;1
COOL-FIT 2.0/4.0 Tools;2
Accessories for tools for plastic R082;1
Accessories / Spare parts for IR, WNF, etc.;1
Rotary Peeler RS;1
WBI Tool;1
ABS Angle seat Valves 305;2
ABS Ball Valves metric 546 electric;2
ABS Ball Valves metric 546 manual DN10-50;2
ABS Ball Valves metric 546 manual DN65-100;2
ABS Ball Valves metric 546 pneumatic;2
ABS Ball Valves other 543 manual;2
ABS Ball Valves other 543 pneumatic;2
ABS Ball Valves other 546 manual DN10-50;2
ABS Ball Valves other 546 pneumatic;2
ABS Butterfly Valves 567;2
ABS Butterfly Valves 568;1
ABS Diaphragm Valves metric 315 manual;1
ABS Diaphragm Valves metric 317 DIASTAR;1
ABS Diaphragm Valves metric 317 manual;1
Accessories for electric actuators;2
Actuation other;1
DIAPHRAGMS;1
DIASTAR ST195;1
Electric actuator;2
Components for Diaphragm Valves PVC-C;1
Components for Diaphragm Valves PVC-U;1
Components for Diaphragm Valves SYGEF Standard;1
Components for Electric Actuators;1
Components for PROGEF;1
Butt Fusion machine for drainage pipes Weld 160 /;1
iFit Adaptors;1
iFit Module plastic;1
Instaflex Valves in plastic (without PB);3
Instaflex BTV 2 Spare Parts;3
Pneumatic rotary actuator (own);1
Pneumatic stroke actuators;2
Position feedback for pneumatic actuators;2
PROGEF Ball Valves 343 pneumatic;1
PROGEF Ball Valves 543 manual;1
PROGEF Ball Valves 543 pneumatic;1
PROGEF Ball Valves 546 electric;1
PROGEF Ball Valves 546 manual DN10-50;1
PROGEF Ball Valves 546 manual DN65-100;1
PROGEF Ball Valves 546 pneumatic;1
PROGEF Ball Valves 547 manual;1
PROGEF Butterfly Valves 140;1
PROGEF Butterfly Valves 240-242;1
PROGEF Butterfly Valves 567;1
PROGEF Butterfly Valves 568;11
PROGEF Diaphragm Valves 317 DIASTAR;1
PROGEF Diaphragm Valves 317 manual;1
PROGEF Plus Diaphragm Valves 314 manual;1
PROGEF Plus Diaphragm Valves 317 manual;1
PVC-C Angle Seat Valves 305;1
PVC-C Ball Valves metric 543 manual;1
PVC-C Ball Valves metric 543 pneumatic;1
PVC-C Ball Valves metric 546 manual DN10-50;1
PVC-C Ball Valves metric 546 manual DN65-100;1
PVC-C Ball Valves metric 546 pneumatic;1
PVC-C Ball Valves other 543 manual;1
PVC-C Ball Valves other 543 pneumatic;1
PVC-C Ball Valves other 546 manual DN10-50;1
PVC-C Ball Valves other 546 manual DN65-100;1
PVC-C Ball Valves other 546 pneumatic;1
PVC-C Butterfly Valves 240-242;1
PVC-C Butterfly Valves 567;1
PVC-C Diaphragm other Valves 317 manual;1
PVC-C Diaphragm Valves metric 317 DIASTAR;1
PVC-C Diaphragm Valves metric 317 manual;1
PVC-C Diaphragm Valves other 315 DIASTAR;1
PVC-C Diaphragm Valves other 317 DIASTAR;1
PVC-U Angle Seat Valves 300-306;1
PVC-U Ball Check Valves 360;1
PVC-U Ball Valves metric 322-324 manual;1
PVC-U Ball Valves metric 353-355 manual;1
PVC-U Ball Valves metric 543 electric;1
PVC-U Ball Valves metric 543 manual;1
PVC-U Ball Valves metric 543 pneumatic;1
PVC-U Ball Valves metric 546 electric;1
PVC-U Ball Valves metric 546 manual DN10-50;1
PVC-U Ball Valves metric 546 manual DN65-100;1
PVC-U Ball Valves metric 546 pneumatic;1
PVC-U Ball Valves other 322-324 manual;1
PVC-U Ball Valves other 353-355 manual;1
PVC-U Ball Valves other 543 electric;1
PVC-U Ball Valves other 543 manual;1
PVC-U Ball Valves other 543 pneumatic;1
PVC-U Ball Valves other 546 electric;1
PVC-U Ball Valves other 546 manual DN65-100;1
PVC-U Ball Valves other 546 pneumatic;1
PVC-U Butterfly Valves 140-142;1
PVC-U Butterfly Valves 240-242;1
PVC-U Butterfly Valves 567;1
PVC-U Diaphragm Valves metric 314 DIASTAR;1
PVC-U Diaphragm Valves metric 317 DIASTAR;1
PVC-U Diaphragm Valves metric 317 manual;1
PVC-U Diaphragm Valves other 317 DIASTAR;1
PVC-U Diaphragm Valves other 317 manual;1
SYGEF Standard Ball Valves 543 manual;1
SYGEF Standard Ball Valves 543 pneumatic;1
SYGEF Standard Ball Valves 546 manual DN10-50;1
SYGEF Standard Ball Valves 546 manual DN65-100;1
SYGEF Standard Ball Valves 546 pneumatic;1
SYGEF Standard Butterfly Valves 240-242;1
SYGEF Standard Butterfly Valves 567;1
SYGEF Standard Butterfly Valves 568;1
SYGEF Standard check Valves 369;1
SYGEF Standard Diaphragm Valves 314 manual;1
SYGEF Standard Diaphragm Valves 317 DIASTAR;1
SYGEF Standard Diaphragm Valves 317 manual;1
PVC-U Diaphragm Valves metric 515 manual;1
PVC-U Diaphragm Valves metric 514 manual;1
PVC-U Diaphragm Valves other 514 manual;1
PVC-U Diaphragm Valves metric 517 manual;1
PVC-U Diaphragm Valves other 517 manual;1
PVC-C Diaphragm Valves metric 515 manual;1
PVC-C Diaphragm Valves metric 514 manual;1
PVC-C Diaphragm Valves metric 517 manual;1
PVC-C Diaphragm other Valves 517 manual;1
ABS Diaphragm Valves metric 515 manual;2
ABS Diaphragm Valves metric 514 manual;2
PROGEF Diaphragm Valves 515 manual;1
PROGEF Diaphragm Valves 514 manual;1
PROGEF Diaphragm Valves 517 manual;1
PROGEF Diaphragm Valves 519 manual;1
Components for Diaphragm Valves PROGEF;1
PROGEF Natural Diaphragm Valves 515 manual;1
PROGEF Natural Diaphragm Valves 519 manual;1
PROGEF Plus Diaphragm Valves 515 manual;1
PROGEF Plus Diaphragm Valves 514 manual;1
PROGEF Plus Diaphragm Valves 517 manual;1
PROGEF Plus Diaphragm Valves 519 manual;1
SYGEF Standard Diaphragm Valves 517 manual;1
SYGEF HP Diaphragm Valves 519 manual;1
PVC-U Diaphragm Valves metric 515 DIASTAR;1
PVC-U Diaphragm Valves metric 514 DIASTAR;1
PVC-U Diaphragm Valves other 514 DIASTAR;1
PVC-U Diaphragm Valves metric 517 DIASTAR;1
PVC-U Diaphragm Valves other 517 DIASTAR;1
PVC-C Diaphragm Valves metric 515 DIASTAR;1
PVC-C Diaphragm Valves metric 517 DIASTAR;1
PVC-C Diaphragm Valves other 517 DIASTAR;1
ABS Diaphragm Valves metric 515 DIASTAR;1
PROGEF Diaphragm Valves 515 DIASTAR;1
PROGEF Diaphragm Valves 514 DIASTAR;1
PROGEF Diaphragm Valves 517 DIASTAR;1
PROGEF Diaphragm Valves 519 DIASTAR;1
PROGEF Natural Diaphragm Valves 515 DIASTAR;1
PROGEF Natural Diaphragm Valves 519 DIASTAR;1
PROGEF Plus Diaphragm Valves 515 DIASTAR;1
PROGEF Plus Diaphragm Valves 514 DIASTAR;1
PROGEF Plus Diaphragm Valves 517 DIASTAR;1
SYGEF Standard Diaphragm Valves 517 DIASTAR;1
Components for Diaphragm Valves DIASTAR;1
DIAPHRAGMS for 5xx;1
Components for 5xx Diaphragm Valves PVC-U;1
Components for 5xx Diaphragm Valves PVC-C;1
PVC-C Diaphragm Valves other 514 manual;1
ABS Diaphragm Valves other 514 manual;1
PVC-C Diaphragm Valves metric 514 DIASTAR;1
PVC-C Diaphragm Valves other 514 DIASTAR;1
ABS Diaphragm Valves metric 514 DIASTAR;1
ABS Diaphragm Valves other 514 DIASTAR;1
PROGEF Plus Diaphragm Valves 519 DIASTAR;1
ABS Check/ Venting Valves 561/562/591/595 metric;1
ABS Check/ Venting Valves 561/562/591/595 other;1
Components for Check Valves, Venting Valves PVC-C;1
PVC-C Check/ Venting Valves 561/562/591/595 metric;1
PVC-C  Check/ Venting Valves 561/562/591/595  othe;1
Components for Check Valves, Venting Valves PVC-U;1
PVC-U Check/ Venting Valves 561/562/591/595 metric;1
PVC-U Check/ Venting Valves 561/562/591/595 other;1
Components for Check Valves, Venting Valves PP;1
PP Check/ Venting Valves 561/562/591/595 metric;1
PP Check/ Venting Valves 561/562/591/595 other;1
Components for Check Valves, Venting Valves PVDF;1
PVDF  Check/ Venting Valves 561/562/591/595 metric;1
PVDF Check/ Venting Valves 561/562/591/595 other;1
PVC-C Ball Valves metric 523;1
PVC-U Ball Valves special;1
PP Ball Valves special;1
PVDF Ball Valves special;1
Pressure Reducing Valves V582;1
Pressure Retaining Valves V586;1
Components for PRVs 582/ 586;2
Low Cost Electric Ball Valve 546;1
Components Low Cost Actuated Valves;2
PVC-U Butterfly Valves 578;1
PVC-C Butterfly Valves 578;1
ABS Butterfly Valves 578;1
PROGEF Butterfly Valves 578;1
Elec. Actuated Butterfly Valves 578;1
Instaflex BTV 2 HWS no drain;1
Instaflex BTV 2 HWS drain;1
Instaflex BTV 2 HMS no drain;1
Instaflex BTV 2 HMS drain;1
Instaflex BTV 2 HMS UPV;1
Instaflex BTV 2 HWS UPV;1
PVC-U Diaphragm Valves Type 604/605;1
PVC-C Diaphragm Valves Type 604/605;1
PROGEF Diaphragm Valves Type 604/605;1
SYGEF Standard Diaphragm Valves Type 604/605;1
PVC-C Ball Valve 546 electric NEW EA 2015;1
ABS Ball Valve 546 electric NEW EA 2015;1
PROGEF Ball Valve 546 electric NEW EA 2015;1
SYGEF Ball Valve 546 electric NEW EA 2015;1
PVC-C Ball Valve 543 electric NEW EA 2015;1
ABS Ball Valve 543 electric NEW EA 2015;1
PROGEF Ball Valve 543 electric NEW EA 2015;1
SYGEF  Ball Valve 543 electric NEW EA 2015;1
PVC-U Bfly Valve 567 electric NEW EA 2015;1
PVC-C Bfly Valve 567 electric NEW EA 2015;1
ABS Bfly Valve 567 electric NEW EA 2015;1
PROGEF Bfly Valve 567 electric NEW EA 2015;1
PVC-U Bfly Valve 578 electric NEW EA 2015;1
PVC-C Bfly Valve 578 electric NEW EA 2015;1
ABS Bfly Valve 578 electric NEW EA 2015;1
PROGEF Bfly Valve 578 electric NEW EA 2015;1
PVC-U Ball Valves metric 542;1
PVC-U Ball Valves other 542;1
