,Potential Factory Placement,Destination,Distance,Distance_normalized
111,Salcininkai,Tirana,2297137.9,2.01111084363359
112,Luhacovice,Tirana,1332231.9,1.166349665087403
113,Lunca de Jos,Tirana,1029242.2,0.9010865865498506
114,Stare Mesto,Tirana,1294760.0,1.1335435612738038
115,Sector 6,Tirana,853759.0,0.7474535955154326
116,Dniprovske,Tirana,1867452.7,1.6349276963054005
117,Lustenau,Tirana,1741591.9,1.5247383952327924
118,Campeni,Tirana,940544.8,0.8234333020247441
119,Yambol,Tirana,762203.3,0.667297910884369
120,Vysoke Myto,Tirana,1401054.8,1.2266031137289977
121,Tibana,Tirana,1241978.1,1.0873337749838368
122,Uzice,Tirana,483703.1,0.42347503365347927
123,Mako,Tirana,860352.4,0.753226021383472
124,Barysaw,Tirana,2201758.8,1.9276078278738429
125,Bela Crkva,Tirana,610200.0,0.5342212310306738
126,Zirc,Tirana,1095007.4,0.9586630632836731
127,Sacalaz,Tirana,730414.7,0.6394674536166834
128,Hunedoara,Tirana,824756.8,0.7220625909487368
129,Siemianowice Slaskie,Tirana,1561800.7,1.3673338128131234
130,Kaba,Tirana,1006300.2,0.8810011990010048
131,Harsova,Tirana,1037511.6,0.9083263260580202
132,Nove Mesto nad Metuji,Tirana,1446758.4,1.266615951248718
133,Dragalina,Tirana,967707.2,0.8472135884320655
134,Puchov,Tirana,1334703.2,1.1685132523182227
135,Chirnogi,Tirana,865164.2,0.7574386823462275
136,Dzierzgon,Tirana,2051842.8,1.7963585488322262
137,Otok,Tirana,743976.6,0.6513406999508606
138,Kozloduy,Tirana,591152.5,0.5175454216271065
139,Neusiedl am See,Tirana,1171015.3,1.02520687499468
140,Rohatyn,Tirana,1537244.3,1.3458350415288207
141,Erbiceni,Tirana,1259243.1,1.1024490315452014
142,Berane,Tirana,338466.5,0.29632250129898974
143,Ksieze Male-Ksieze Wielkie,Tirana,1691215.5,1.480634589230017
144,Bohorodchany,Tirana,1556921.2,1.3630618814843556
145,Toekoel,Tirana,982093.1,0.8598082347897912
146,Slobozia,Tirana,981399.6,0.8592010856194867
147,Tura,Tirana,1016617.2,0.8900335825482737
148,Chynadiyovo,Tirana,1321049.7,1.1565598115154083
149,Poprad,Tirana,1222176.4,1.0699976744422108
150,Medzilaborce,Tirana,1344388.0,1.1769921539542205
151,Piastow,Tirana,1839524.6,1.6104770506771677
152,Lwowek Slaski,Tirana,1669637.4,1.4617432763075275
153,Nove Mesto na Morave,Tirana,1366439.6,1.1962980092446107
154,Apatin,Tirana,799524.6,0.6999721665868682
155,Gornesti,Tirana,1064340.5,0.931814638062607
156,Varva,Tirana,2067892.0,1.8104093901646705
157,Zukowo,Tirana,2066592.3,1.8092715217051973
158,Limanowa,Tirana,1393207.3,1.2197327415387105
159,Baciu,Tirana,1051882.0,0.9209074023910311
160,Rejon ulicy Traugutta,Tirana,1695506.4,1.4843912098138083
161,Zuya,Tirana,1898901.3,1.6624604885148258
162,Letohrad,Tirana,1405012.9,1.23006837274988
163,Puiesti,Tirana,1155630.1,1.0117373560113088
164,Petrinja,Tirana,968559.0,0.8479593269515541
165,Krolevets,Tirana,2151039.1,1.8832034677107712
166,Drajna de Jos,Tirana,904101.8,0.7915279852065683
167,Bakhchysarai,Tirana,1916071.0,1.6774923113113307
168,Crasna,Tirana,703408.3,0.6158237429419755
169,Labatlan,Tirana,1035802.8,0.9068302964946227
170,Milcovul,Tirana,1053970.1,0.922735503591482
171,Pale,Tirana,446046.7,0.39050740277150053
172,Pleszew,Tirana,1831922.3,1.603821347523014
173,Armasesti,Tirana,926489.9,0.8111284413560895
174,Scobinti,Tirana,1256846.5,1.1003508430786524
175,Ceska Trebova,Tirana,1387486.8,1.2147245269334812
176,Eiguliai,Tirana,2267692.4,1.9853317363600507
177,Patos Fshat,Tirana,129034.5,0.11296782929437474
178,Teglas,Tirana,1071327.5,0.937931655009856
179,Rejon placu Swietego Macieja,Tirana,1697529.6,1.4861624920075502
180,Afumati,Tirana,884105.2,0.774021252547722
181,Bierutow,Tirana,1697609.2,1.4862321806506018
182,As,Tirana,1693627.1,1.482745909978548
183,Zelenivka,Tirana,1624009.4,1.4217966254889967
184,Lypovets,Tirana,1584117.1,1.3868714966547704
185,Sabinov,Tirana,1280925.4,1.1214315700531925
186,Ostroveni,Tirana,639485.3,0.5598600855326445
187,Agas,Tirana,1054732.3,0.9234027986132644
188,Rrogozhine,Tirana,71772.2,0.0628355179249094
189,Cerasu,Tirana,918883.4,0.804469061162981
190,Modra,Tirana,1204059.1,1.0541362416186253
191,Backa Topola,Tirana,759137.1,0.6646134973501404
192,Shklow,Tirana,2316803.8,2.028328053249005
193,Opoczno,Tirana,1738285.5,1.5218436900897578
194,Halych,Tirana,1547508.7,1.3548213745406057
195,Sevastopol,Tirana,1963384.0,1.718914155139181
196,Ruma,Tirana,663918.5,0.5812509970076014
197,Nadlac,Tirana,882562.0,0.7726702033774066
198,Domanivka,Tirana,1594654.0,1.3960963994558964
199,Breclav,Tirana,1250811.9,1.0950676384887184
200,Velika Kladusa,Tirana,770385.9,0.6744616582541356
201,Vrnograc,Tirana,767024.8,0.6715190640561395
202,Faraoani,Tirana,1137365.0,0.9957465264359263
203,Budapest XVIII. keruelet,Tirana,970516.3,0.8496729146531214
204,Bilina,Tirana,1585473.4,1.3880589175915892
205,Jihlava,Tirana,1380356.6,1.2084821404675767
206,Secovce,Tirana,1264092.8,1.106694873407098
207,Devavanya,Tirana,952244.0,0.8336757815823875
208,Lumina,Tirana,1085136.6,0.9500213213510977
209,Vesele,Tirana,1836386.8,1.6077299523836113
210,Sokal,Tirana,1658054.6,1.4516027032580652
211,Lazdynai,Tirana,2357277.2,2.063761926687217
212,Novi Sad,Tirana,696555.4,0.6098241285956463
213,Znamyanka,Tirana,1777074.3,1.5558027207128364
214,Valga,Tirana,2681977.6,2.3480324075199803
215,Lac,Tirana,44341.8,0.03882060141284158
216,Godech,Tirana,502890.4,0.4402732359251195
217,Belogradchik,Tirana,491466.4,0.43027168996757376
218,Fratesti,Tirana,806432.2,0.7060196699881587
219,Sierakowice,Tirana,2102674.5,1.8408609633674309
220,Aksakovo,Tirana,983756.9,0.8612648675072425
221,Voinesti,Tirana,825345.2,0.7225777265966201
222,Levoca,Tirana,1316244.3,1.152352753659632
223,Swinoujscie,Tirana,2078490.1,1.8196878726762835
224,Orikhiv,Tirana,1952939.9,1.7097704973892507
225,Costesti,Tirana,742771.8,0.6502859150620607
226,Kosice,Tirana,1226313.7,1.073619820458506
227,Kemecse,Tirana,1223499.9,1.0711563794557624
228,Nis,Tirana,375799.4,0.32900691263288856
229,Slavonski Brod,Tirana,807304.2,0.7067830933140499
230,Kramatorsk,Tirana,2143152.3,1.8762986889416908
231,Trofaiach,Tirana,1237610.2,1.0835097420192041
232,Roskovec,Tirana,122448.7,0.10720205711587293
233,Frydlant nad Ostravici,Tirana,1416333.5,1.2399793935102963
234,Kastel Luksic,Tirana,499333.3,0.43715904657589105
235,Draganesti-Olt,Tirana,703410.4,0.615825581461453
236,Lubin,Tirana,1631445.7,1.428306998055882
